,0.6666666666666666,1.0,0.0,0.3333333333333333,0.2222222222222222,0.4444444444444444,0.8888888888888888,0.5555555555555556,0.1111111111111111,0.7777777777777777
196,reject,reject,accept,reject,accept,reject,reject,reject,accept,reject
197,reject,reject,accept,reject,accept,reject,reject,reject,accept,reject
198,reject,reject,accept,reject,reject,reject,reject,reject,reject,reject
199,reject,reject,accept,reject,accept,reject,reject,reject,accept,reject
200,reject,reject,accept,reject,reject,accept,reject,reject,reject,reject
201,reject,reject,accept,accept,reject,reject,reject,reject,accept,reject
202,reject,reject,accept,reject,accept,reject,reject,reject,accept,reject
203,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
204,reject,reject,accept,reject,reject,accept,reject,accept,accept,reject
205,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
206,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
207,reject,reject,accept,accept,reject,reject,reject,reject,reject,reject
208,reject,reject,accept,reject,reject,reject,reject,reject,reject,reject
209,reject,reject,accept,reject,accept,reject,reject,reject,accept,reject
210,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
211,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
212,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
213,reject,reject,accept,accept,reject,reject,reject,reject,accept,reject
214,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
215,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
216,reject,reject,accept,accept,reject,reject,reject,reject,reject,accept
217,reject,reject,accept,reject,reject,reject,reject,reject,reject,reject
218,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
219,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
220,reject,reject,accept,reject,reject,accept,reject,reject,accept,reject
221,reject,reject,accept,reject,accept,reject,reject,reject,accept,reject
222,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
223,reject,reject,accept,reject,reject,reject,reject,accept,accept,reject
224,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
225,reject,reject,accept,reject,reject,reject,reject,reject,reject,reject
226,reject,reject,accept,reject,accept,reject,reject,reject,accept,reject
227,reject,reject,accept,reject,accept,reject,reject,reject,reject,reject
228,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
229,reject,reject,accept,reject,accept,reject,reject,reject,accept,reject
230,reject,reject,accept,reject,reject,reject,reject,reject,accept,accept
231,reject,reject,accept,reject,accept,reject,accept,reject,accept,reject
232,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
233,reject,reject,accept,reject,accept,reject,reject,reject,reject,reject
234,reject,reject,accept,reject,accept,reject,reject,reject,reject,reject
235,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
236,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
237,reject,reject,accept,reject,reject,accept,reject,reject,accept,reject
238,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
239,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
240,reject,reject,reject,reject,accept,reject,reject,accept,accept,reject
241,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
242,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
243,reject,reject,accept,reject,reject,reject,reject,reject,reject,reject
244,reject,reject,accept,accept,reject,reject,reject,reject,reject,reject
245,reject,reject,reject,reject,reject,reject,reject,reject,accept,reject
246,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
247,reject,reject,accept,reject,reject,reject,reject,reject,reject,reject
248,reject,reject,accept,reject,accept,reject,reject,reject,reject,reject
249,reject,reject,accept,reject,accept,reject,accept,reject,accept,reject
250,reject,reject,accept,reject,accept,reject,reject,reject,accept,reject
251,reject,reject,accept,reject,accept,reject,reject,reject,accept,reject
252,accept,reject,accept,reject,reject,reject,reject,reject,accept,reject
253,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
254,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
255,reject,reject,accept,reject,reject,reject,reject,reject,reject,reject
256,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
257,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
258,reject,reject,accept,reject,reject,reject,reject,reject,accept,accept
259,reject,reject,accept,reject,accept,reject,reject,reject,accept,reject
260,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
261,reject,reject,accept,reject,accept,reject,reject,reject,accept,reject
262,accept,reject,accept,accept,reject,reject,reject,reject,reject,reject
263,reject,reject,accept,accept,reject,reject,reject,accept,reject,reject
264,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
265,reject,reject,accept,reject,reject,reject,reject,accept,reject,reject
266,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
267,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
268,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
269,reject,reject,accept,accept,accept,reject,reject,reject,accept,reject
270,reject,reject,accept,reject,reject,reject,reject,reject,reject,reject
271,reject,reject,accept,reject,accept,reject,reject,reject,accept,reject
272,reject,reject,accept,reject,reject,accept,reject,reject,accept,reject
273,reject,reject,accept,reject,accept,reject,reject,reject,accept,reject
274,reject,reject,accept,reject,accept,reject,reject,reject,reject,reject
275,reject,reject,accept,accept,reject,reject,reject,reject,accept,reject
276,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
277,reject,reject,accept,reject,accept,reject,reject,reject,accept,reject
278,reject,reject,accept,reject,reject,reject,reject,reject,reject,reject
279,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
280,reject,reject,accept,accept,reject,reject,reject,reject,reject,reject
281,reject,reject,accept,reject,accept,reject,reject,reject,accept,reject
282,reject,reject,reject,reject,reject,reject,reject,reject,accept,reject
283,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
284,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
285,reject,reject,accept,reject,reject,accept,reject,reject,accept,reject
286,accept,accept,accept,reject,reject,reject,reject,reject,accept,reject
287,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
288,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
289,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
290,reject,reject,accept,reject,accept,reject,reject,reject,reject,reject
291,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
292,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
293,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
294,reject,reject,accept,reject,reject,reject,reject,reject,reject,reject
295,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
296,reject,reject,accept,reject,accept,reject,reject,reject,accept,reject
297,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
298,reject,reject,accept,reject,reject,reject,reject,reject,reject,reject
299,reject,reject,accept,reject,accept,reject,reject,reject,accept,reject
300,reject,reject,accept,reject,reject,reject,reject,reject,reject,reject
301,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
302,reject,reject,reject,reject,reject,reject,reject,reject,accept,reject
303,reject,reject,accept,reject,accept,reject,reject,reject,accept,reject
304,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
305,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
306,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
307,reject,reject,accept,accept,reject,reject,reject,reject,accept,reject
308,reject,reject,accept,reject,reject,reject,reject,reject,reject,reject
309,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
310,reject,reject,accept,reject,reject,reject,reject,reject,reject,reject
311,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
312,reject,reject,accept,reject,reject,reject,accept,reject,accept,reject
313,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
314,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
315,reject,reject,accept,reject,accept,reject,reject,reject,reject,reject
316,reject,reject,accept,reject,accept,reject,reject,reject,accept,reject
317,reject,reject,reject,reject,accept,reject,reject,reject,accept,reject
318,reject,reject,accept,reject,reject,reject,reject,reject,reject,reject
319,reject,reject,accept,accept,reject,reject,reject,accept,reject,reject
320,reject,reject,accept,accept,reject,reject,reject,reject,accept,reject
321,reject,reject,accept,reject,reject,reject,reject,reject,reject,reject
322,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
323,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
324,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
325,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
326,reject,reject,accept,reject,reject,reject,reject,reject,reject,reject
327,reject,reject,accept,accept,reject,reject,reject,reject,reject,reject
328,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
329,reject,reject,accept,accept,accept,reject,reject,reject,accept,reject
330,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
331,reject,reject,accept,accept,accept,reject,reject,reject,accept,reject
332,reject,reject,accept,accept,reject,reject,reject,reject,accept,reject
333,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
334,reject,reject,accept,reject,accept,reject,reject,reject,accept,reject
335,reject,reject,accept,reject,accept,reject,reject,reject,accept,reject
336,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
337,reject,reject,accept,accept,reject,reject,reject,reject,accept,reject
338,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
339,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
340,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
341,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
342,reject,reject,reject,reject,reject,reject,reject,reject,accept,reject
343,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
344,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
345,reject,reject,reject,reject,reject,reject,reject,reject,accept,reject
346,reject,reject,accept,reject,reject,reject,reject,reject,reject,reject
347,reject,accept,accept,reject,reject,reject,reject,reject,accept,reject
348,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
349,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
350,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
351,reject,reject,accept,reject,accept,reject,reject,reject,accept,reject
352,reject,reject,accept,reject,reject,reject,accept,reject,accept,reject
353,reject,reject,accept,reject,accept,reject,reject,reject,accept,reject
354,reject,reject,accept,accept,reject,reject,reject,reject,accept,reject
355,reject,reject,accept,reject,reject,accept,reject,reject,accept,reject
356,reject,reject,accept,reject,reject,reject,reject,reject,reject,reject
357,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
358,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
359,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
360,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
361,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
362,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
363,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
364,reject,reject,accept,accept,reject,reject,reject,reject,accept,reject
365,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
366,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
367,reject,reject,reject,reject,reject,reject,reject,reject,accept,reject
368,reject,reject,accept,reject,reject,reject,reject,reject,reject,reject
369,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
370,reject,reject,accept,reject,reject,reject,reject,reject,reject,reject
371,reject,reject,accept,reject,accept,reject,reject,reject,accept,reject
372,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
373,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
374,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
375,reject,reject,reject,reject,accept,reject,reject,reject,reject,reject
376,reject,reject,accept,reject,reject,reject,reject,reject,reject,reject
377,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
378,reject,reject,accept,reject,reject,reject,reject,reject,reject,reject
379,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
380,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
381,reject,reject,accept,reject,reject,reject,reject,reject,reject,reject
382,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
383,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
384,reject,reject,accept,reject,reject,reject,reject,accept,accept,reject
385,reject,reject,accept,reject,accept,reject,reject,reject,accept,reject
386,reject,reject,accept,accept,accept,reject,reject,reject,reject,reject
387,reject,reject,accept,accept,accept,reject,reject,reject,accept,reject
388,reject,reject,accept,reject,reject,reject,reject,reject,reject,reject
389,reject,reject,accept,reject,accept,reject,reject,accept,reject,reject
390,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
391,reject,reject,accept,reject,accept,reject,reject,reject,accept,reject
392,reject,reject,accept,reject,accept,reject,reject,reject,reject,reject
393,reject,reject,reject,reject,accept,reject,reject,reject,accept,reject
394,reject,reject,accept,reject,accept,reject,reject,reject,accept,reject
395,reject,reject,accept,reject,accept,reject,reject,reject,reject,reject
396,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
397,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
398,reject,reject,accept,accept,reject,reject,reject,reject,accept,reject
399,reject,reject,accept,reject,accept,accept,reject,reject,reject,reject
400,reject,reject,accept,reject,reject,reject,reject,reject,reject,reject
401,reject,reject,accept,accept,reject,reject,reject,reject,accept,reject
402,reject,reject,accept,reject,accept,accept,reject,reject,accept,reject
403,reject,reject,accept,reject,reject,accept,reject,reject,reject,reject
404,reject,reject,accept,reject,accept,reject,reject,reject,accept,reject
405,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
406,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
407,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
408,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
409,reject,reject,accept,reject,accept,reject,reject,reject,accept,reject
410,reject,reject,accept,reject,accept,reject,reject,reject,accept,reject
411,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
412,reject,reject,accept,reject,accept,reject,reject,reject,accept,reject
413,reject,reject,accept,reject,accept,reject,reject,reject,accept,reject
414,reject,reject,accept,accept,reject,reject,reject,reject,accept,reject
415,reject,reject,accept,reject,reject,reject,reject,reject,reject,reject
416,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
417,reject,reject,accept,reject,reject,reject,reject,accept,accept,reject
418,reject,reject,accept,reject,accept,reject,reject,reject,accept,reject
419,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
420,reject,reject,accept,reject,accept,reject,reject,reject,accept,reject
421,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
422,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
423,reject,reject,accept,reject,accept,reject,reject,reject,accept,reject
424,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
425,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
426,reject,reject,accept,reject,reject,reject,reject,reject,reject,reject
427,reject,reject,accept,accept,reject,reject,reject,accept,accept,reject
428,reject,reject,accept,reject,reject,accept,reject,reject,accept,reject
